age,income,loan_amount,credit_history_years,num_accounts,employment_type,education,target
22,52477.92,16688.89,11,1,employed,secondary,1
58,50838.36,24979.41,10,3,employed,bachelor,1
52,75379.32,24068.82,12,6,self_employed,bachelor,1
40,76382.08,15061.91,13,6,employed,master,0
40,49298.26,1000.0,13,8,unemployed,master,0
62,51936.75,6153.82,2,8,employed,master,0
22,70822.62,21106.67,2,1,self_employed,bachelor,1
54,43448.32,2597.99,3,1,unemployed,bachelor,0
28,51789.32,12386.46,9,4,self_employed,bachelor,0
22,61791.86,17707.84,8,9,employed,bachelor,1
45,79918.77,26756.57,12,5,employed,secondary,1
68,47908.03,10399.84,12,9,employed,master,1
56,23152.31,9852.1,12,1,employed,bachelor,1
57,21668.05,14580.43,1,9,unemployed,secondary,0
55,34811.74,17807.3,10,1,employed,bachelor,1
58,33736.65,13766.03,12,8,employed,secondary,1
44,56907.78,23394.15,14,8,self_employed,bachelor,1
24,36222.4,8606.85,5,3,employed,bachelor,0
61,45944.9,15961.29,11,3,unemployed,master,0
41,44518.28,18561.7,6,6,employed,bachelor,0
44,51189.84,11798.14,2,7,employed,bachelor,0
37,86450.09,21717.68,5,2,self_employed,bachelor,1
27,73238.95,16191.67,3,3,employed,master,1
66,60322.59,21310.77,13,7,unemployed,master,1
58,50779.47,16552.83,2,8,employed,bachelor,0
51,51335.35,18011.24,1,2,employed,bachelor,0
38,66554.93,9940.87,8,9,employed,bachelor,0
60,71683.38,9953.83,8,8,employed,master,1
46,41847.65,24795.17,8,8,employed,phd,1
41,60729.62,20084.08,2,3,employed,bachelor,1
41,19367.61,6816.28,7,7,employed,bachelor,1
29,64234.28,16446.91,13,2,unemployed,secondary,1
22,75242.98,1000.0,1,2,employed,secondary,0
46,54398.63,10408.48,11,1,self_employed,secondary,1
64,96330.54,22688.22,1,5,employed,secondary,1
21,42375.23,13998.84,3,7,self_employed,bachelor,0
62,64348.81,15943.3,13,2,employed,bachelor,1
61,59283.51,1000.0,4,2,employed,bachelor,0
32,57994.05,11861.97,7,3,employed,bachelor,1
50,57713.56,17706.18,5,2,employed,secondary,0
26,62142.1,18722.32,9,8,employed,bachelor,1
57,76959.17,22698.85,6,2,employed,secondary,0
54,87554.72,13317.94,6,3,unemployed,secondary,0
36,59955.0,13674.75,12,3,employed,phd,1
21,76306.32,4343.06,8,2,unemployed,secondary,1
68,45964.66,13363.83,8,9,employed,secondary,1
41,75319.11,4907.4,12,2,employed,bachelor,1
64,44760.17,1000.0,6,5,employed,bachelor,1
53,81813.2,6318.57,12,6,employed,bachelor,1
58,104212.82,27069.48,10,3,self_employed,bachelor,1
57,57558.32,12835.51,13,5,employed,bachelor,1
28,16149.13,16759.02,6,2,unemployed,bachelor,0
36,49038.54,10892.03,8,5,employed,master,1
42,84637.5,1000.0,1,1,employed,secondary,1
